2026-05-12 19:42:00 [faf9f99d-104e-4204-ba1c-5d5609da1b39] Event: REGISTRATION, User: testuser, IP: N/A, Details: User registered successfully, timestamp=2026-05-12T19:42:00.433619
2026-05-12 19:47:11 [] Event: TOKEN_BLACKLISTED, User: testuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:47:11.288015
2026-05-12 19:47:21 [] Event: TOKEN_BLACKLISTED, User: testuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:47:21.496570
2026-05-12 19:47:28 [] Event: TOKEN_BLACKLISTED, User: testuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:47:28.908037
2026-05-12 19:52:29 [ba312c56-f345-4a6a-8516-d09c359aedcd] Event: REGISTRATION, User: securityuser, IP: N/A, Details: User registered successfully, timestamp=2026-05-12T19:52:29.315157
2026-05-12 19:52:43 [] Event: TOKEN_BLACKLISTED, User: testuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:52:43.475402
2026-05-12 19:53:16 [19d1f7bd-fe35-4dc4-b879-8d123c4a7024] Event: LOGIN_SUCCESS, User: securityuser, IP: 0:0:0:0:0:0:0:1, Details: User logged in successfully, timestamp=2026-05-12T19:53:16.602240
2026-05-12 19:55:45 [743498ae-19ea-47fc-a396-7e511d856d46] Event: LOGOUT, User: Unknown, IP: N/A, Details: User logged out and token blacklisted, timestamp=2026-05-12T19:55:45.933569
2026-05-12 19:55:54 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:55:54.132591
2026-05-12 19:55:58 [43f09a4e-846a-4dac-8488-1cab202f61f4] Event: LOGIN_SUCCESS, User: securityuser, IP: 0:0:0:0:0:0:0:1, Details: User logged in successfully, timestamp=2026-05-12T19:55:58.476770
2026-05-12 19:56:23 [a2f69bbb-0202-4066-9b64-e4da174d5c84] Event: LOGOUT, User: Unknown, IP: N/A, Details: User logged out and token blacklisted, timestamp=2026-05-12T19:56:23.215289
2026-05-12 19:56:43 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:56:43.682160
2026-05-12 19:56:58 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:56:58.239365
2026-05-12 19:56:59 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:56:59.591028
2026-05-12 19:57:04 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:57:04.075744
2026-05-12 19:57:05 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:57:05.331939
2026-05-12 19:57:06 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:57:06.003882
2026-05-12 19:57:06 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:57:06.678920
2026-05-12 19:57:07 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:57:07.323946
2026-05-12 19:57:07 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:57:07.919233
2026-05-12 19:57:08 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:57:08.491328
2026-05-12 19:57:09 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T19:57:09.016122
2026-05-12 20:00:45 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T20:00:45.903706
2026-05-12 20:00:57 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T20:00:57.912538
2026-05-12 20:00:59 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T20:00:59.260248
2026-05-12 20:01:37 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T20:01:37.502374
2026-05-12 20:12:41 [cbcb3e6b-2678-4423-9802-2f075a92b7a1] Event: LOGIN_SUCCESS, User: securityuser, IP: 0:0:0:0:0:0:0:1, Details: User logged in successfully, timestamp=2026-05-12T20:12:41.667839
2026-05-12 20:12:54 [03bbadcb-c009-47e2-9ba1-5b62677163c8] Event: LOGOUT, User: Unknown, IP: N/A, Details: User logged out and token blacklisted, timestamp=2026-05-12T20:12:54.835633
2026-05-12 20:13:11 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T20:13:11.386400
2026-05-12 20:13:16 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T20:13:16.545605
2026-05-12 20:13:17 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T20:13:17.217906
2026-05-12 20:13:17 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T20:13:17.856213
2026-05-12 20:13:18 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T20:13:18.506303
2026-05-12 20:13:19 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T20:13:19.118979
2026-05-12 20:13:19 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T20:13:19.726722
2026-05-12 20:13:20 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T20:13:20.322241
2026-05-12 20:13:20 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T20:13:20.956520
2026-05-12 20:13:21 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T20:13:21.562014
2026-05-12 20:13:22 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T20:13:22.096487
2026-05-12 20:13:22 [] Event: TOKEN_BLACKLISTED, User: securityuser, IP: N/A, Details: Blacklisted token used: , timestamp=2026-05-12T20:13:22.637471
2026-05-12 20:14:18 [b97e2700-7122-4d72-a07c-098ec44e9873] Event: LOGIN_FAILURE, User: securityuser, IP: 0:0:0:0:0:0:0:1, Details: Failed login attempt, timestamp=2026-05-12T20:14:18.122913
2026-05-12 20:14:20 [711c2e1d-4222-47bf-8886-503aabefbc26] Event: LOGIN_FAILURE, User: securityuser, IP: 0:0:0:0:0:0:0:1, Details: Failed login attempt, timestamp=2026-05-12T20:14:20.517595
2026-05-12 20:14:21 [cc24b270-16ea-4305-acec-98d132ed47df] Event: LOGIN_FAILURE, User: securityuser, IP: 0:0:0:0:0:0:0:1, Details: Failed login attempt, timestamp=2026-05-12T20:14:21.652343
2026-05-12 20:14:23 [96cf0613-c669-42fc-aa84-effb9c423bb4] Event: LOGIN_FAILURE, User: securityuser, IP: 0:0:0:0:0:0:0:1, Details: Failed login attempt, timestamp=2026-05-12T20:14:23.446160
2026-05-12 20:14:24 [4d6fe5e1-9560-4f1d-86f6-af1d5be00ffc] Event: LOGIN_FAILURE, User: securityuser, IP: 0:0:0:0:0:0:0:1, Details: Failed login attempt, timestamp=2026-05-12T20:14:24.242827
2026-05-12 20:14:24 [9a5fe60d-992e-4c0b-bcb8-eaf5864e74f6] Event: RATE_LIMITED, User: securityuser, IP: 0:0:0:0:0:0:0:1, Details: User exceeded login attempts and is now rate limited, timestamp=2026-05-12T20:14:24.910550
2026-05-12 20:58:07 [17a6ca2b-4dc6-4c4f-a2ff-0c858b5bd334] Event: LOGIN_FAILURE, User: securityuser, IP: 0:0:0:0:0:0:0:1, Details: Failed login attempt, timestamp=2026-05-12T20:58:07.411915
2026-05-12 20:59:01 [3dedc287-c917-428d-a060-9e0305a77d5d] Event: LOGIN_SUCCESS, User: securityuser, IP: 0:0:0:0:0:0:0:1, Details: User logged in successfully, timestamp=2026-05-12T20:59:01.188084
